paper_id,cluster_id,keyword,score
PMC11500582,1,play,0.1155310835876123
PMC11500582,1,important,0.1155310835876123
PMC11500582,1,role,0.1155310835876123
PMC11500582,1,process,0.1155310835876123
PMC5387210,2,Back,0.026597927404565944
PMC5387210,2,Visit,0.05402657030912676
PMC5387210,2,Travel,0.06277304534013856
PMC5387210,2,gallery,0.07334489383741181
PMC5387210,2,Mail,0.07417313840262335
PMC5387210,2,Online,0.07417313840262335
PMC5387210,2,Friday,0.07417313840262335
PMC5387210,2,photos,0.094808423351325
PMC5387210,2,home,0.09492398510093508
PMC5387210,2,CNN.com,0.09492398510093508
PMC5387210,2,Back,0.026597927404565944
PMC5387210,2,Visit,0.05402657030912676
PMC5387210,2,Travel,0.06277304534013856
PMC5387210,2,gallery,0.07334489383741181
PMC5387210,2,Mail,0.07417313840262335
PMC5387210,2,Online,0.07417313840262335
PMC5387210,2,Friday,0.07417313840262335
PMC5387210,2,photos,0.094808423351325
PMC5387210,2,home,0.09492398510093508
PMC5387210,2,CNN.com,0.09492398510093508
PMC4642138,1,TGN,0.033726173050397636
PMC4642138,1,mutant,0.03593797646516558
PMC4642138,1,cargo,0.04928591548244245
PMC4642138,1,acid,0.05258266425249413
PMC4642138,1,auxin,0.08824944166125559
PMC4642138,1,network,0.08980738308177952
PMC4642138,1,directing,0.08980738308177952
PMC4642138,1,vacuole,0.08980738308177952
PMC4642138,1,defects,0.08980738308177952
PMC4642138,1,emergence,0.08980738308177952
PMC5387210,2,Back,0.026597927404565944
PMC5387210,2,Visit,0.05402657030912676
PMC5387210,2,Travel,0.06277304534013856
PMC5387210,2,gallery,0.07334489383741181
PMC5387210,2,Mail,0.07417313840262335
PMC5387210,2,Online,0.07417313840262335
PMC5387210,2,Friday,0.07417313840262335
PMC5387210,2,photos,0.094808423351325
PMC5387210,2,home,0.09492398510093508
PMC5387210,2,CNN.com,0.09492398510093508
PMC5387210,2,Back,0.026597927404565944
PMC5387210,2,Visit,0.05402657030912676
PMC5387210,2,Travel,0.06277304534013856
PMC5387210,2,gallery,0.07334489383741181
PMC5387210,2,Mail,0.07417313840262335
PMC5387210,2,Online,0.07417313840262335
PMC5387210,2,Friday,0.07417313840262335
PMC5387210,2,photos,0.094808423351325
PMC5387210,2,home,0.09492398510093508
PMC5387210,2,CNN.com,0.09492398510093508
PMC3901686,0,Microorganisms,0.05254282930755801
PMC3901686,0,immune,0.0686651611558563
PMC3901686,0,responses,0.0686651611558563
PMC3901686,0,space,0.0686651611558563
PMC3901686,0,Drosophila,0.07237730404580174
PMC3901686,0,Human,0.09043695347068073
PMC3901686,0,conditions,0.09043695347068073
PMC3901686,0,health,0.09043695347068073
PMC3901686,0,spaceflight,0.09043695347068073
PMC3901686,0,weakened,0.13446728335821595
PMC6387434,0,Space,0.05213075487899203
PMC6387434,0,radiation,0.05213075487899203
